Label,Text
article,"4. Les documents suivants font partie intégrante de ce règlement : les feuillets cartographiques 1 à 13 de l’annexe A; les grilles d’exception de l’annexe B; l’index terminologique de l’ annexe C ; la liste des codes d’usages de la classification des usages de l’ annexe D ; les feuillets cartographiques identifiant les cotes et la délimitation des plaines inondables de la rivière des Mille Îles, de la rivière des Prairies et du lac des Deux Montagnes de l’annexe E; les plans reliés à une dérogation à l’interdiction de construction, d’ouvrages et de travaux dans la zone de grand courant d’une plaine inondable de l’annexe F; la liste des plantes vasculaires exotiques envahissantes prioritaires du ministère de l'Environnement et de la Lutte contre les changements climatiques (MELCC) de l’annexe G; les paramètres relatifs aux distances séparatrices agricoles de l’annexe H; la liste des arbres et leurs caractéristiques de l’annexe I; le Code national de construction des bâtiments agricoles – Canada 1995 ainsi que le Code de construction du Québec – Chapitre I, Bâtiment, et Code national du bâtiment – Canada 2010, excluant la division I, la partie 7 de la division B (Plomberie), la section 10.7 de la division B concernant la plomberie, la partie 11 de la division B (efficacité énergétique) et la sous-section 2.2.7 de la partie 2 de la division C concernant la déclaration de travaux de construction, de l’annexe J."
article,"5. Ce règlement remplace les règlements suivants et leurs modifications : le règlement numéro L-8127 concernant le commerce des fleurs à l’extérieur à l’occasion de la fête de Pâques et de la fête des Mères; le règlement numéro L-8556 concernant le commerce des fruits et des légumes; le règlement de contrôle intérimaire numéro M.R.C.L.-8 concernant les bois et corridors forestiers d’intérêt sur le territoire de Laval; le règlement de contrôle intérimaire numéro M.R.C.L.-9 concernant les seuils de densité résidentielle sur le territoire de Laval et le zonage de certains lots; le règlement de contrôle intérimaire numéro M.R.C.L.-10 concernant la hauteur maximale des bâtiments sur le territoire de Laval; le règlement de contrôle intérimaire M.R.C.L.-11 concernant la protection des milieux humides d’intérêt; le règlement numéro L-2000 concernant l’aménagement du territoire, le zonage, l’usage des bâtiments et des terrains et les plans d’implantation et d’intégration architecturale dans la Ville de Laval; le règlement numéro L-9500 Règlement de lotissement dans la Ville de Laval; le règlement numéro L-9501 Règlement de construction dans la Ville de Laval; le règlement numéro L-9502 Règlement sur les dérogations mineures."
article,"6. Le remplacement prévu à l’article 5 n’affecte pas les procédures intentées sous l’autorité des dispositions d’un règlement ainsi remplacé, lesquelles se continueront sous l’autorité du règlement remplacé jusqu’à jugement final et exécution. Le remplacement prévu à l’article 5 n’affecte pas la validité des permis ou des certificats délivrés sous l’autorité des dispositions d’un règlement ainsi remplacé, les permis ou les certificats demeurent valides pour la durée prévue au règlement remplacé. Une demande de prolongation d’un permis ou d’un certificat visé à l’alinéa précédent devra se faire avant l’expiration de la durée de validité prévue au règlement remplacé, en respectant la procédure prévue à ce règlement en faisant les adaptations nécessaires. Reusing topic #UUID-76a7e284-829f-1858-7aa8-2c761d075a99"
section,SECTION 1 Intégration des différents règlements d'urbanisme
section,SECTION 2 Structure du règlement
section,SECTION 3 Renvoi à ce règlement
article,"7. Ce règlement regroupe, entre autres, l'ensemble des dispositions relatives aux règlements d’urbanisme suivants : le règlement de zonage; le règlement de lotissement; le règlement de construction; le règlement relatif à certaines conditions de délivrance d’un permis de construction adopté en vertu de l’article 116 de la Loi sur l’aménagement et l’urbanisme (RLRQ, c. A-19.1); le règlement relatif aux permis et certificats; le règlement sur les dérogations mineures; le règlement sur les plans d’implantation et d’intégration architecturale (PIIA); le règlement relatif aux usages conditionnels; le règlement sur les projets particuliers de construction, de modification ou d’occupation d’un immeuble (PPCMOI); le règlement sur les plans d’aménagement d’ensemble (PAE)."
article,"8. Ce règlement comprend, en plus de dispositions normatives, des dispositions discrétionnaires relatives, notamment, à la réglementation sur la contribution aux fins de parcs, de terrains de jeux et d’espaces naturels, sur les exemptions de cases de stationnement, sur les PIIA, sur les usages conditionnels, sur les dérogations mineures, sur les PAE et sur les PPCMOI. Une disposition discrétionnaire, telle qu’un objectif, un critère, un avis ou une condition, est identifiée afin de la distinguer d’une disposition normative."
article,"9. La structure de ce règlement suit la hiérarchie suivante : titre : chaque titre est désigné par la mention « TITRE » en lettres majuscules suivie d’une numérotation en chiffres arabes et d’un intitulé; chapitre : chaque chapitre est désigné par la mention « CHAPITRE » en lettres majuscules suivie d’une numérotation en chiffres arabes et d’un intitulé. Cette numérotation recommence sous chaque titre; section : chaque section est désignée par la mention « SECTION » en lettres majuscules suivie d’une numérotation en chiffres arabes et d’un intitulé. Cette numérotation recommence sous chaque chapitre; sous-section : chaque sous-section est désignée par la mention « Sous-section » suivie d’une numérotation en chiffres arabes et d’un intitulé. Cette numérotation recommence sous chaque section. La sous-section est utilisée au besoin, mais peut être omise afin d’alléger le texte; article : chaque article est désigné par une numérotation consécutive en chiffres arabes suivie d’un point; alinéa : chaque alinéa est désigné par un retour à la ligne et n’est précédé d’aucun numéro, à l’exception du premier alinéa de chaque article qui est précédé du numéro d’article; paragraphe : chaque paragraphe est désigné par une numérotation consécutive en chiffres arabes suivie du « o » supérieur selon le format suivant : 1°, 2°, 3°, 4°, 5°, etc. La numérotation recommence sous chaque alinéa; sous-paragraphe de niveau 1 : chaque sous-paragraphe de niveau 1 est désigné par une lettre suivie d’une parenthèse fermante selon le format suivant : a), b), c), d), e), etc. Cette numérotation recommence sous chaque paragraphe; sous-paragraphe de niveau 2 : chaque sous-paragraphe de niveau 2 est désigné par un chiffre romain minuscule suivi d’une parenthèse fermante selon le format suivant : i), ii), iii), iv), v), etc. Cette numérotation recommence sous chaque sous-paragraphe de niveau 1; sous-paragraphe de niveau 3 : chaque sous-paragraphe de niveau 3 est désigné par un chiffre arabe entre parenthèses selon le format suivant : (1), (2), (3), (4), (5), etc. Cette numérotation recommence sous chaque sous-paragraphe de niveau 2. Structure de ce règlement"
article,"10. Dans ce règlement, lorsqu’un renvoi à un titre, un chapitre, une section, une sous-section, un article, un alinéa, un paragraphe, un sous-paragraphe, une annexe ou à toute autre forme d’expression (tableau, figure, croquis, illustration, plan, etc.) n’est pas suivi d’une mention à un règlement, à une loi ou à un autre document, ce renvoi réfère automatiquement à une disposition de ce règlement."
section,SECTION 1 Règles générales de préséance
section,SECTION 2 Règles de préséance pour un lot ou un terrain compris dans plus d'une zone
section,SECTION 3 Terminologie
article,"11. Dans ce règlement, à moins d’indication contraire, les règles de préséance suivantes s’appliquent en cas d’incompatibilité entre : le texte d’un article et un intitulé, le texte d’un article prévaut; le texte et toute autre forme d’expression (tableau, figure, croquis, illustration, plan, etc.), le texte prévaut; une donnée d’un tableau et un croquis, une figure ou une illustration, la donnée du tableau prévaut; le feuillet 1 de l’annexe A ou une fiche de type de milieux ou une grille d’exception, le feuillet 1 de l’annexe A prévaut; une disposition d’une fiche descriptive d’un type de milieux du titre 7 ou une disposition des autres titres de ce règlement et une disposition d’une grille d’exception de l’annexe D, la disposition de la grille d’exception de l’annexe D prévaut; deux dispositions de ce règlement ou entre une disposition de ce règlement et une disposition contenue dans un autre règlement, la disposition particulière ou spécifique prévaut sur la disposition générale; des dispositions restrictives ou prohibitives contenues dans ce règlement ou entre une disposition restrictive ou prohibitive contenue dans ce règlement et une disposition contenue dans un autre règlement, la disposition la plus restrictive ou prohibitive prévaut; deux dispositions particulières spécifiques ou deux dispositions générales dans ce règlement, entre une disposition particulière ou spécifique de ce règlement et une disposition particulière ou spécifique contenue dans un autre règlement ou entre une disposition générale de ce règlement et une disposition générale contenue dans un autre règlement, la disposition la plus restrictive ou prohibitive prévaut."
article,"12. Dans ce règlement, à moins d’indication contraire, en cas d’incompatibilité entre des dispositions prescrites à un lot ou un terrain, selon le cas applicable, compris dans plus d’une zone au sens de la section 3 du chapitre 4, les règles de préséance suivantes s’appliquent : les dispositions de lotissement les plus restrictives des zones concernées s’appliquent, c’est-à-dire que le lot doit être conforme à la superficie minimale ou aux dimensions minimales les plus élevées applicables dans ces zones; lorsqu’une disposition s’applique à un bâtiment principal ou agricole, les règles suivantes s’appliquent : si le bâtiment est entièrement situé dans une seule zone, la disposition de cette zone s’applique; si le bâtiment est situé dans plus d’une zone, la disposition de la zone qui couvre plus de 50 % de la superficie d’emprise au sol du bâtiment s’applique; malgré le sous-paragraphe précédent, la hauteur ou les marges du bâtiment prescrites à chacune des zones concernées s’appliquent respectivement à chaque partie correspondante de ce bâtiment; sous réserve du paragraphe 1°, lorsqu’une disposition s’applique à un terrain, la disposition prescrite à chacune des zones concernées s’applique respectivement à chaque partie correspondante de ce terrain; l’usage exercé sur chaque partie d’un terrain ou dans chaque partie d’un bâtiment doit être conforme aux usages permis dans la zone dans laquelle se trouve la partie de terrain ou la partie du bâtiment; lorsqu’une disposition s’applique à un bâtiment accessoire, une autre construction autre qu’un bâtiment principal ou agricole, un équipement, un ouvrage ou un aménagement de terrain, les règles suivantes s’appliquent : si le bâtiment, la construction, l’équipement, l’ouvrage ou l’aménagement de terrain est entièrement situé dans une seule zone, la disposition de cette zone s’applique; si le bâtiment, la construction, l’équipement, l’ouvrage ou l’aménagement de terrain est situé dans plus d’une zone, la disposition la plus restrictive s’applique; sauf pour des végétaux couvre-sol, une plantation d’arbres ou d’arbustes ou tout autre aménagement paysager, le bâtiment, la construction, l’équipement, l’ouvrage ou l’aménagement de terrain est prohibé s’il est situé dans une zone où l’usage principal dont il est accessoire est prohibé; la superficie et les dimensions minimales d’un lot, les marges et les proportions prescrites doivent être mesurées ou calculées en fonction des limites du lot ou du terrain, selon le cas applicable, en faisant abstraction des limites des zones."
article,"13. Pour l’interprétation de ce règlement, à moins que le contexte n’indique un sens différent, un mot ou une expression a le sens qui lui est attribué à l’index terminologique de l’annexe C. Si un mot ou une expression n’est pas spécifiquement défini à cet index, il s’emploie au sens communément attribué à ce mot ou à cette expression."
section,"SECTION 1 Table des matières, en-tête et pied de page"
section,SECTION 2 Tableaux
section,SECTION 3 Plan de zonage
section,SECTION 4 Fiches descriptives des types de milieux et grilles d'exception
section,SECTION 5 Règles générales de calcul et de mesure
article,"14. Les éléments suivants de ce règlement ne sont montrés qu’à titre indicatif et n’en font pas partie : la table des matières; les en-têtes; les pieds de page, y compris la pagination. La modification, la correction ou la mise à jour de ces éléments ne requiert donc pas l’adoption d’un règlement de modification."
article,"15. Une cellule de tableau correspond à l’une de ses lignes lorsqu’aucune colonne n’en fait partie. Dans le cas contraire, une cellule de tableau correspond à l’espace formé par le croisement d’une colonne et d’une ligne. Dans tous les cas, chaque ligne de tableau est identifiée par un chiffre arabe situé à sa droite. Cette numérotation recommence à chaque tableau."
article,"16. La structure du texte d’un tableau suit la hiérarchie suivante : alinéa de tableau : chaque alinéa est désigné par un retour à la ligne et n’est précédé d’aucun numéro; paragraphe de tableau : chaque paragraphe est désigné par une numérotation consécutive en chiffres arabes suivie d’un point selon le format suivant : 1., 2., 3., 4., 5., etc. Cette numérotation recommence, selon le cas applicable, sous chaque alinéa du tableau ou à chaque ligne du tableau; sous-paragraphe de tableau de niveau 1 : chaque sous-paragraphe de tableau de niveau 1 est désigné par une lettre minuscule suivie d’un point selon le format suivant : a., b., c., d., e., etc. Cette numérotation recommence sous chaque paragraphe de tableau; sous-paragraphe de tableau de niveau 2 : chaque sous-paragraphe de tableau de niveau 2 est désigné par un chiffre romain minuscule suivi d’un point selon le format suivant : i., ii., iii., iv., v., etc. Cette numérotation recommence sous chaque sous-paragraphe de tableau de niveau 1; sous-paragraphe de tableau de niveau 3 : chaque sous-paragraphe de tableau de niveau 3 est désigné par un chiffre arabe suivi d’un point selon le format suivant : 1., 2., 3., 4., 5., etc. Cette numérotation recommence sous chaque sous-paragraphe de tableau de niveau 2. Structure d’un tableau"
article,"17. À moins d’indication contraire, les règles applicables à l’interprétation des tableaux sont les suivantes : une pastille avec une lettre (ex. ) est utilisée pour faciliter l’identification des dispositions à appliquer sur les figures qui en font partie; un point (●) vis-à-vis le croisement d’une ligne et d’une colonne indique que la disposition correspondante est autorisée. Si aucun point n’est inscrit vis-à-vis le croisement de cette ligne et de cette colonne, cette disposition est prohibée; un nombre ou un libellé dans une cellule d'un tableau indique que la disposition s'applique à l’exigence de la ligne ou de la colonne correspondante; le symbole « - » dans une cellule d'un tableau ou une cellule vide d’un tableau indique que la disposition ne s'applique pas à l’exigence de la ligne ou de la colonne correspondante; un numéro d’article entre parenthèses inscrit comme suit « (art. 000) », à titre d’exemple, indique un renvoi à une disposition particulière de ce règlement qui s’applique."
article,18. Le territoire de la Ville est divisé en zones délimitées sur le feuillet 1 de l’annexe A.
article,"19. Chaque zone du feuillet 1 de l’annexe A est identifiée par une référence alphanumérique, comme celles montrées ci-dessous, à titre d’exemples, et composée des éléments suivants : T1.1 – 0001 ZI.2 – 0002 l’élément de cette référence situé avant le trait d’union est un code alphanumérique identifiant la catégorie de type de milieux (ex. : « T1 » ou « ZI ») suivi d’un point et d’un chiffre précisant le type de milieux de cette catégorie (ex. « .1 » ou « .2 »); l’élément de cette référence situé après le trait d’union principal est le numéro unique identifiant la zone (ex. : 0001)."
article,"20. Les types de milieux, décrits au titre 7, représentent des unités morphologiques existantes ou souhaitées sur le territoire et se déclinent en catégories comme suit : la catégorie « T1 Naturel » comprend les types de milieux T1.1 et T1.2; la catégorie « T2 Agricole » comprend les types de milieux T2.1, T2.2 et T2.3; la catégorie « T3 Suburbain » comprend les types de milieux T3.1, T3.2, T3.3, T3.4 et T3.5; la catégorie « T4 Urbain » comprend les types de milieux T4.1, T4.2, T4.3, T4.4, T4.5 et T4.6; la catégorie « T5 Urbain compact » comprend les types de milieux T5.1, T5.2 et T5.3; la catégorie « T6 Centralité urbaine » comprend les types de milieux T6.1, T6.2, T6.3, T6.4 et T6.5; la catégorie « CI Institutionnel » comprend les types de milieux CI.1, CI.2 et CI.3; la catégorie « Espace ouvert » comprend le type de milieux CE; la catégorie « Zone de maisons mobiles » comprend le type de milieux ZM; la catégorie « Zone commerciale » comprend le type de milieux ZC; la catégorie « Zone de haute technologie » comprend le type de milieux ZH; la catégorie « ZI Zone industrielle » comprend les types de milieux ZI.1, ZI.2 et ZI.3; la catégorie « Zone d’extraction » comprend le type de milieux ZE; la catégorie « Zone de services publics » comprend le type de milieux ZP; la catégorie « SZD Secteur de zonage différé » comprend les types de milieux SZD.1, SZD.2, SZD.3, SZD.4 et SZD.5. Les types de milieux des catégories T1 à T6 correspondent à une gradation d’intensité urbaine."
article,"21. La limite d’une zone apparaissant au plan de zonage coïncide, de façon générale, avec une limite d’un terrain ou une ligne d’un lot existant ou projeté ou de son prolongement. Si ce n’est pas le cas, elle coïncide, de façon non limitative, avec l’une ou l’autre des délimitations suivantes : une limite d’une aire d’affectation définie et délimitée au SADR; une ligne médiane de l’emprise d’une voie de circulation existante ou proposée ou son prolongement; une ligne médiane de l’emprise d’un cours d’eau ou d’un lac; une ligne médiane de l’emprise d’une voie ferrée ou d’une infrastructure de services publics; une limite du périmètre d’urbanisation; une limite administrative de la Ville."
article,"22. Lorsqu’ils apparaissent sur les feuillets de l’annexe A, les éléments suivants ne sont montrés qu’à titre indicatif et ne font pas partie de ce règlement : la toponymie; les emprises des voies de circulation, des voies ferrées et des lignes de transport d’électricité; les limites des lots, des terrains et des propriétés; le cartouche et la légende. La modification, la correction ou la mise à jour de ces éléments ne requiert pas l’adoption d’un règlement de modification."
article,"23. Une zone identifiée sur le feuillet 1 de l’annexe A est associée à un type de milieux. Une fiche descriptive prescrit pour chaque type de milieux des normes particulières applicables à ce type de milieux. Ces fiches ainsi que leurs dispositions explicatives font partie du titre 7. Une référence au titre 7, à une catégorie de types de milieux, à un type de milieux ou à une fiche descriptive de type de milieux, fait également référence, lorsqu’applicable, aux grilles d’exception de l’annexe B. Les dispositions explicatives de ces grilles font partie du chapitre 1 du titre 7."
sous-section,Sous-section 1 Règle de calcul dans le cas d'un résultat fractionnaire
sous-section,Sous-section 2 Règle de calcul dans le cas d’un bâtiment occupé par des logements et des chambres
sous-section,Sous-section 3 Mesure d’une marge
sous-section,Sous-section 4 Mesure d’une distance à partir d’un bâtiment ou d’un équipement
sous-section,Sous-section 5 Mesure de la superficie d’emprise au sol d’un bâtiment
sous-section,Sous-section 6 Mesure de la largeur d’un bâtiment
sous-section,Sous-section 7 Mesure de la profondeur d’un bâtiment
sous-section,Sous-section 8 Mesure d’une superficie de plancher d’un bâtiment
sous-section,Sous-section 9 Mesure d’une superficie de plancher d’un usage ou d’un établissement
sous-section,"Sous-section 10 Mesure de la hauteur d’un bâtiment, d’une construction ou d’un équipement"
sous-section,Sous-section 11 Mesure du niveau moyen du sol
sous-section,Sous-section 12 Calcul du nombre d’étages d’un bâtiment
article,"24. À moins d’indication contraire, un résultat fractionnaire d’une unité indivisible d’un calcul prescrit par ce règlement doit être arrondi au nombre entier : inférieur dans le cas d’une fraction inférieure à 0,5; supérieur dans le cas d’une fraction égale ou supérieure à 0,5."
article,"25. À moins d’indication contraire, lorsqu’un bâtiment est occupé à la fois par des logements et des chambres, il faut ramener, pour l’application d’une disposition applicable de façon particulière par logement ou par chambre, la somme des unités d’hébergement occupant ce bâtiment en nombre de logements par une conversion du nombre de chambres en nombre de logements. Pour ce faire, chaque groupe de 4 chambres équivaut à un logement."
article,"26. Une marge avant, avant secondaire, latérale ou arrière correspond à la distance horizontale minimale ou maximale, selon le cas applicable, prescrite au titre 7 entre une ligne de terrain et un bâtiment principal ou agricole. Cette distance est la plus courte mesurée horizontalement entre la ligne de terrain correspondante à cette marge et de : la fondation extérieure du bâtiment; la projection au sol du mur extérieur du bâtiment, si ce mur fait saillie de plus de 0,15 m par rapport à la fondation du bâtiment; ou la partie du bâtiment dont la distance par rapport à la ligne de terrain est la plus courte, en l’absence d’une fondation ou d’un mur extérieur."
article,"27. Une marge ne s’applique pas à une construction entièrement souterraine, une saillie ou un élément architectural autorisé dans les marges minimales en vertu du chapitre 2 du titre 5 ni à un muret décoratif dans le prolongement du bâtiment."
article,"28. Une distance mesurée à partir d’un bâtiment principal, d’un bâtiment agricole ou d’un bâtiment accessoire doit être prise horizontalement de : la fondation du bâtiment; la projection au sol du mur extérieur du bâtiment, si ce mur fait saillie de plus de 0,15 m par rapport à la fondation du bâtiment; ou la partie du bâtiment la plus avancée en l’absence d’une fondation ou d’un mur extérieur."
article,"29. Une distance mesurée à partir d’un bâtiment ne doit pas prendre en compte une construction entièrement souterraine, une saillie ou un élément architectural autorisé dans les cours en vertu du chapitre 2 du titre 5 ni un muret décoratif dans le prolongement de ce bâtiment."
article,"30. Une distance mesurée à partir d’un équipement accessoire doit être prise horizontalement de : sa base ou de la structure sur laquelle l’équipement repose ou est attaché; ou la projection au sol de l’extrémité de l’équipement, si celui-ci dépasse sa base, sa structure ou son support de plus de 0,15 m."
article,"31. La superficie de l’emprise au sol d’un bâtiment formé d’un toit soutenu par des murs est mesurée à partir de la paroi extérieure de sa fondation ou de la projection au sol de ses murs extérieurs, si ceux-ci font saillie de plus de 0,15 m par rapport à la fondation ou en l’absence de fondation. Dans le cas d’un bâtiment dont la structure est jumelée ou contiguë, la mesure du côté du mur mitoyen doit être prise au centre de ce mur. La superficie au sol d’un bâtiment formé d’un toit soutenu par des colonnes est mesurée à partir du côté extérieur de ces colonnes."
article,"32. Malgré l’article 31 et à moins d’indication contraire : une galerie, un perron, un porche, un balcon, une loggia ou une marquise faisant corps avec le bâtiment, un abri tambour hivernal, un abri tunnel hivernal, un abri d’hiver pour véhicules, un escalier extérieur, une rampe d’accès extérieur, un escalier extérieur et une construction entièrement souterraine, installés ou implantés sur une fondation ou non sont exclus du calcul de la superficie d’emprise au sol d’un bâtiment. Une cheminée sans fondation est également exclue de ce calcul; une fenêtre en saillie faisant corps avec le bâtiment et un couloir ou une passerelle entre 2 parties d’un bâtiment sont inclus dans le calcul de la superficie d’emprise au sol d’un bâtiment; un solarium, une véranda, un abri d’auto attaché, un garage intégré, une aire de stationnement en structure hors sol attachée et une construction partiellement souterraine faisant corps avec le rez-de-chaussée d’un bâtiment principal sont inclus dans le calcul de la superficie d’emprise au sol d’un bâtiment principal."
article,"33. La largeur d’un bâtiment principal correspond à la distance horizontale la plus grande entre les façades situées aux extrémités de la façade principale avant ou le prolongement de celles-ci. Cette largeur est mesurée parallèlement à la façade principale avant, entre les parois extérieures de la fondation du bâtiment ou de la projection au sol des murs extérieurs, si ceux-ci font fait saillies de plus de 0,15 m par rapport à la fondation ou en l’absence de fondation, le tout tel qu’illustré, à titre indicatif, à la figure 4. Un abri d’auto attaché, un garage intégré et une aire de stationnement en structure hors sol attachée doivent être inclus dans la mesure de la largeur d’un bâtiment principal."
article,"34. Dans le cas d’un bâtiment dont la structure est jumelée ou contiguë, la mesure du côté du mur mitoyen doit être prise au centre de ce mur. Mesure de la largeur d'un bâtiment"
article,"35. La profondeur d’un bâtiment principal correspond à la distance horizontale la plus grande entre la façade principale avant ou le prolongement de celle-ci et la façade arrière du bâtiment ou le prolongement de celle-ci. Cette profondeur est mesurée perpendiculairement à la façade principale avant de ce bâtiment, entre les parois extérieures de la fondation du bâtiment ou de la projection au sol des murs extérieurs, si ceux-ci font saillie de plus de 0,15 m par rapport à la fondation ou en l’absence de fondation."
article,"36. La superficie de plancher d’un bâtiment correspond à la somme de la superficie de l’ensemble de ses planchers, mesurés à la paroi intérieure des murs extérieurs et, pour un bâtiment dont la structure est jumelée ou contiguë, des murs mitoyens. Mesure de la superficie de plancher d’un bâtiment"
article,"37. Lorsqu’un plancher n’est pas délimité par un mur, comme une mezzanine à titre d’exemple, la superficie de plancher est mesurée à la fin de ce plancher."
article,"38. Lorsqu’un étage est situé dans un comble de toit, la superficie de plancher correspond à la surface du plancher où la hauteur entre le plancher et le plafond est égale ou supérieure à 1,2 m, sauf, le cas échéant, pour les dispositions du Code de construction du Québec (CCQ) applicables en vertu de ce règlement."
article,"39. Malgré les articles 36 et 37 et à moins d’indication contraire : une cave, un sous-sol, un vide sanitaire, un abri d’auto attaché, un garage intégré, une aire de stationnement intérieure, un abri tambour hivernal, abri tunnel hivernal, un abri d’hiver pour véhicules, une galerie, un perron, un porche, un balcon, une loggia ou une marquise faisant corps avec le bâtiment, un escalier extérieur, une rampe d’accès extérieur, un escalier extérieur et une construction entièrement souterraine, installés ou implantés sur une fondation ou non sont exclus du calcul de la superficie de plancher d’un bâtiment; Reusing topic #UUID-0ef0973e-fd07-6603-f147-e6c430908400 une fenêtre en saillie faisant corps avec le bâtiment et un couloir ou une passerelle entre 2 parties de bâtiment sont inclus dans le calcul de la superficie de plancher d’un bâtiment; un solarium, une véranda ou une aire de stationnement en structure hors sol attachée sont inclus dans le calcul de la superficie de plancher d’un bâtiment principal."
article,"40. La superficie de plancher d’un usage correspond à la somme de la superficie de l’ensemble des aires de planchers où l’usage est exercé. La superficie de plancher d’un établissement correspond à la somme de la superficie de l’ensemble des aires de planchers où un usage principal est exercé, incluant ses usages accessoires et additionnels, le cas échéant. Cette superficie est mesurée à la paroi intérieure des murs extérieurs d’un bâtiment et, si l’usage ou l’établissement est situé dans un bâtiment jumelé, contigu ou comprenant plusieurs locaux, des murs mitoyens également. Cette superficie inclut les murs intérieurs."
article,"41. Malgré l’article 40 et à moins d’indication contraire : une cave, un sous-sol ou toute partie d’un sous-sol utilisée exclusivement par un usage accessoire (espace d’entreposage, aire de stationnement, etc.), un vide sanitaire, un abri d’auto attaché, un garage intégré, une aire de stationnement intérieure, une aire de stationnement en structure hors sol, un abri tambour hivernal, un abri tunnel hivernal, un abri d’hiver pour véhicules, une galerie, un perron, un porche, un balcon, une loggia ou une marquise faisant corps avec le bâtiment principal, un escalier extérieur, une rampe d’accès extérieur, un escalier extérieur, une construction entièrement souterraine, installés ou implantés sur une fondation ou non sont exclus du calcul de la superficie de plancher d’un usage; toute partie d’un sous-sol utilisée par un usage principal ou additionnel, un solarium, une véranda, une fenêtre en saillie faisant corps avec le bâtiment et un couloir ou une passerelle entre 2 parties de bâtiment sont inclus dans le calcul de la superficie de plancher d’un usage."
article,"42. La hauteur d’un bâtiment principal correspond à la distance verticale entre le niveau moyen de la couronne de rue et le faîte du toit ou, dans le cas d’un bâtiment principal à toit plat, le point le plus élevé du parapet ou de tout autre élément architectural de ce toit. Une construction habitable hors toit est comptabilisée dans la mesure de la hauteur d’un bâtiment principal. Dans le cas d'un terrain bordé par plus d'une rue, le niveau moyen de la couronne de rue est celui de la rue dont l'emprise est délimitée par la ligne avant de terrain. Dans le cas d’un bâtiment principal implanté à une distance égale ou supérieure à 15 m de la ligne avant du terrain qu’il occupe ou du terrain dont il est destiné à occuper, la hauteur se mesure par rapport au niveau moyen du sol le long de sa façade principale avant. Mesure de la hauteur d’un bâtiment Mesure de la hauteur d’un bâtiment implanté à 15 m et plus de la ligne avant de terrain"
article,"43. Une antenne, un campanile, une cheminée, un clocher, une construction technique hors toit ou un équipement mécanique ou un silo n’est pas comptabilisé dans la mesure de la hauteur d’un bâtiment principal. Malgré ce qui précède, une construction hors toit abritant une cage d’ascenseur située à une distance d’une façade principale avant ou secondaire inférieure à sa hauteur est comptabilisée dans la mesure de la hauteur d’un bâtiment principal."
article,"44. Le niveau moyen de la couronne de rue représente le niveau moyen de la couronne du tronçon de la rue située face à la façade principale avant du bâtiment principal, entre le prolongement des façades suivantes de ce bâtiment : les façades latérales, s’il occupe ou il est destiné à occuper un terrain intérieur ou transversal; la façade principale secondaire et la façade latérale, s’il occupe ou il est destiné à occuper un terrain d’angle; les façades principales secondaires délimitant la façade principale avant, s’il occupe ou il est destiné à occuper un terrain d’angle transversal ou formant un îlot. Ce niveau moyen est établi à partir de mesures prises à ces prolongements et une mesure médiane au centre de ces prolongements ou d’au moins une mesure à tous les 5 m linéaire lorsque la longueur entre ces prolongements est de 15 m ou plus. Lorsqu’une rue est composée d’un terre-plein, le niveau moyen de la couronne de rue est mesuré dans la partie de la rue localisée entre le terre-plein et le terrain visé."
